date,days,state,Biden,Buttigieg,Sanders,Warren
2019-02-02,32,Iowa,29.2,0.0,14.8,10.6
2019-02-07,37,Iowa,25.39,11.4,10.38,10.5
2019-03-09,67,Iowa,27.0,1.0,25.0,9.0
2019-03-20,78,Iowa,29.0,11.4,15.0,8.0
2019-03-24,82,Iowa,25.3,11.4,24.1,8.5
2019-03-28,86,Iowa,25.0,6.0,17.0,8.0
2019-04-11,100,Iowa,27.0,9.0,16.0,7.0
2019-04-22,111,Iowa,19.0,14.0,19.0,6.0
2019-05-06,125,Iowa,34.9,11.4,13.7,10.4
2019-05-20,139,Iowa,24.0,14.0,24.0,12.0
2019-06-08,158,Iowa,24.0,14.0,16.0,15.0
2019-06-16,166,Iowa,30.0,11.0,22.0,12.0
2019-06-25,175,Iowa,27.0,17.0,18.0,20.0
2019-07-02,182,Iowa,24.0,6.2,9.0,13.0
2019-07-03,183,Iowa,17.0,10.0,12.0,20.0
2019-07-11,191,Iowa,16.0,25.0,16.0,18.0
2019-07-21,201,Iowa,24.0,7.0,19.0,17.0
2019-07-30,210,Iowa,22.9,7.2,10.9,23.4
2019-08-08,219,Iowa,28.0,8.0,9.0,19.0
2019-08-15,226,Iowa,17.0,13.0,17.0,28.0
2019-09-08,250,Iowa,29.0,7.0,26.0,17.0
2019-09-18,260,Iowa,25.0,12.0,9.0,23.0
2019-09-18,260,Iowa,16.0,13.0,16.0,24.0
2019-09-21,263,Iowa,20.0,9.0,11.0,22.0
2019-10-13,285,Iowa,22.0,14.0,21.0,22.0
2019-10-14,286,Iowa,21.5,16.6,5.0,24.6
2019-10-17,289,Iowa,22.8,16.1,12.5,22.6
2019-10-21,293,Iowa,17.6,13.2,9.0,16.8
2019-10-24,296,Iowa,12.0,20.0,18.0,28.0
2019-11-01,304,Iowa,17.0,18.0,19.0,22.0
2019-11-06,309,Iowa,15.0,19.0,17.0,20.0
2019-11-12,315,Iowa,19.0,22.0,13.0,18.0
2019-11-12,315,Iowa,15.3,15.5,18.1,23.1
2019-11-15,318,Iowa,13.0,20.0,14.0,21.0
2019-11-16,319,Iowa,15.0,25.0,15.0,16.0
2019-11-17,320,Iowa,22.0,21.0,22.0,18.0
2019-11-21,324,Iowa,12.0,26.0,18.0,19.0
